ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,SLNO,Borrowed,Tones,Page,Speaker,Notes
1,Khalai,sky,ʒuan³³,ʒ ua n ³³,,nawsawu2016makyam,1,false,33,155,kl1,
2,Khalai,sky,ʒuan³³,ʒ ua n ³³,,nawsawu2016makyam,1,false,33,155,kl2,
3,Santong,sky,ruan³³,r ua n ³³,,nawsawu2016makyam,1,false,33,155,st1,
4,Santong,sky,ruan³³,r ua n ³³,,nawsawu2016makyam,1,false,33,155,st2,
5,Khalai,sun,ɲy⁴⁴,ɲ y ⁴⁴,,nawsawu2016makyam,2,false,44,155,kl1,
6,Khalai,sun,ɲy⁴⁴,ɲ y ⁴⁴,,nawsawu2016makyam,2,false,44,155,kl2,
7,Santong,sun,ɲə⁴⁴,ɲ ə ⁴⁴,,nawsawu2016makyam,2,false,44,155,st1,
8,Santong,sun,ɲy⁴⁴,ɲ y ⁴⁴,,nawsawu2016makyam,2,false,44,155,st2,
9,Khalai,moon,ta⁴⁴,t a ⁴⁴,,nawsawu2016makyam,3,false,44,155,kl1,
10,Khalai,moon,ta⁴⁴,t a ⁴⁴,,nawsawu2016makyam,3,false,44,155,kl2,
11,Santong,moon,ta⁴⁴,t a ⁴⁴,,nawsawu2016makyam,3,false,44,155,st1,
12,Santong,moon,ta⁴⁴,t a ⁴⁴,,nawsawu2016makyam,3,false,44,155,st2,
13,Khalai,star,huan²⁴ tʰɔŋ³³ pi³¹,h ua n ²⁴ + tʰ ɔ ŋ ³³ + p i ³¹,,nawsawu2016makyam,4,false,24 33 31,155,kl1,
14,Khalai,star,xuan³⁵ tʰɔŋ³³ pi²¹,x ua n ³⁵ + tʰ ɔ ŋ ³³ + p i ²¹,,nawsawu2016makyam,4,false,35 33 21,155,kl2,
15,Santong,star,wan²⁴ tʰɔŋ³³ pi³¹,w a n ²⁴ + tʰ ɔ ŋ ³³ + p i ³¹,,nawsawu2016makyam,4,false,24 33 31,155,st1,
16,Santong,star,wan³⁵ tʰɔŋ³³ pi²¹,w a n ³⁵ + tʰ ɔ ŋ ³³ + p i ²¹,,nawsawu2016makyam,4,false,35 33 21,155,st2,
17,Khalai,cloud (rain),tak⁴⁴ miɛ³³ kʰɔk³¹,t a k ⁴⁴ + m iɛ ³³ + kʰ ɔ k ³¹,,nawsawu2016makyam,5,false,44 33 31,155,kl1,
18,Khalai,cloud (rain),tak⁵² miɛ³³ kʰɔk²¹,t a k ⁵² + m iɛ ³³ + kʰ ɔ k ²¹,,nawsawu2016makyam,5,false,52 33 21,155,kl2,
19,Santong,cloud (rain),tak⁵² miɛ³³ kʰɔʔ³¹,t a k ⁵² + m iɛ ³³ + kʰ ɔ ʔ ³¹,,nawsawu2016makyam,5,false,52 33 31,155,st1,
20,Santong,cloud (rain),tak⁴² mi³³ kʰɔʔ²¹,t a k ⁴² + m i ³³ + kʰ ɔ ʔ ²¹,,nawsawu2016makyam,5,false,42 33 21,155,st2,
21,Khalai,mist/fog,tak⁴⁴ miɛ³³ kʰɔk³¹,t a k ⁴⁴ + m iɛ ³³ + kʰ ɔ k ³¹,,nawsawu2016makyam,6,false,44 33 31,155,kl1,
22,Khalai,mist/fog,tak⁵² miɛ³³ kʰɔk²¹,t a k ⁵² + m iɛ ³³ + kʰ ɔ k ²¹,,nawsawu2016makyam,6,false,52 33 21,155,kl2,
23,Santong,mist/fog,ŋu⁴⁴,ŋ u ⁴⁴,,nawsawu2016makyam,6,false,44,155,st1,
24,Santong,mist/fog,ŋu⁴⁴,ŋ u ⁴⁴,,nawsawu2016makyam,6,false,44,155,st2,
25,Khalai,rain,ʒuan³³,ʒ ua n ³³,,nawsawu2016makyam,7,false,33,155,kl1,
26,Khalai,rain,ʒuan³³ vuat⁵²,ʒ ua n ³³ + v ua t ⁵²,,nawsawu2016makyam,7,false,33 52,155,kl2,
27,Santong,rain,ruan³³ vuat⁵²,r ua n ³³ + v ua t ⁵²,,nawsawu2016makyam,7,false,33 52,155,st1,
28,Santong,rain,ruan³³ vuat⁴²,r ua n ³³ + v ua t ⁴²,,nawsawu2016makyam,7,false,33 42,155,st2,
29,Khalai,rainbow,kɔŋ²⁴ ku³¹ tʰoŋ⁴⁴,k ɔ ŋ ²⁴ + k u ³¹ + tʰ o ŋ ⁴⁴,,nawsawu2016makyam,8,false,24 31 44,155,kl1,
30,Khalai,rainbow,kɔŋ³⁵ ku²¹ tʰoŋ⁴⁴,k ɔ ŋ ³⁵ + k u ²¹ + tʰ o ŋ ⁴⁴,,nawsawu2016makyam,8,false,35 21 44,155,kl2,
31,Santong,rainbow,kʰɔŋ²⁴ ku³¹,kʰ ɔ ŋ ²⁴ + k u ³¹,,nawsawu2016makyam,8,false,24 31,155,st1,
32,Santong,rainbow,kʰɔŋ³⁵ ku²¹,kʰ ɔ ŋ ³⁵ + k u ²¹,,nawsawu2016makyam,8,false,35 21,155,st2,
33,Khalai,lightning (flashing),ʒuan³³ ɲak⁴⁴ paik⁵² hip³¹,ʒ ua n ³³ + ɲ a k ⁴⁴ + p ai k ⁵² + h i p ³¹,,nawsawu2016makyam,9,false,33 44 52 31,155,kl1,
34,Khalai,lightning (flashing),ʒuan³³ ɲak⁵² paik⁵² hip²¹,ʒ ua n ³³ + ɲ a k ⁵² + p ai k ⁵² + h i p ²¹,,nawsawu2016makyam,9,false,33 52 52 21,155,kl2,
35,Santong,lightning (flashing),ruan³³ ɲek⁵² paik⁵² hip³¹,r ua n ³³ + ɲ e k ⁵² + p ai k ⁵² + h i p ³¹,,nawsawu2016makyam,9,false,33 52 52 31,155,st1,
36,Santong,lightning (flashing),ruan³³ ɲek⁴² peik⁴² hip²¹,r ua n ³³ + ɲ e k ⁴² + p ei k ⁴² + h i p ²¹,,nawsawu2016makyam,9,false,33 42 42 21,155,st2,
37,Khalai,thunder,ʒuan³³ mɔk⁴⁴,ʒ ua n ³³ + m ɔ k ⁴⁴,,nawsawu2016makyam,10,false,33 44,155,kl1,
38,Khalai,thunder,ʒuan³³ mɔk⁵²,ʒ ua n ³³ + m ɔ k ⁵²,,nawsawu2016makyam,10,false,33 52,155,kl2,
39,Santong,thunder,ruan³³ mɔk⁵² kʰyŋ⁴⁴,r ua n ³³ + m ɔ k ⁵² + kʰ y ŋ ⁴⁴,,nawsawu2016makyam,10,false,33 52 44,155,st1,
