ID,Name,Description,ColumnSpec,Concepticon_ID,Concepticon_Name
sky,sky,,,2671,SKY
sun,sun,,,2897,SUN
moon,moon,,,1313,MOON
star,star,,,2812,STAR
cloud (rain),cloud (rain),,,1489,CLOUD
mist/fog,mist/fog,,,249,FOG
rain,rain,,,2351,RAIN
rainbow,rainbow,,,2352,RAINBOW
lightning (flashing),lightning (flashing),,,1654,LIGHTNING
thunder,thunder,,,3027,THUNDER
shadow/shade,shadow/shade,,,2275,SHADOW
wind,wind,,,4497,WIND
night,night,,,1988,NIGHT
day,day,,,751,DAY
morning,morning,,,1890,MORNING
noon,noon,,,2000,NOON
yesterday,yesterday,,,4548,YESTERDAY
tomorrow,tomorrow,,,4236,TOMORROW
year,year,,,4543,YEAR
east,east,,,884,EAST
west,west,,,4454,WEST
water,water,,,4425,WATER
to be hot (water),to be hot (water),,,2272,HOT OR WARM
to be hot (person),to be hot (person),,,3818,HOT (FEELING HOT)
to be warm (water),to be warm (water),,,2272,HOT OR WARM
to be cold (person),to be cold (person),,,3819,COLD (FEELING COLD)
to be cool (water),to be cool (water),,,1287,COLD
stream,stream,,,947,STREAM
river,river,,,2415,RIVER
sea,sea,,,2535,SEA
soil (earth),soil (earth),,,1228,EARTH (SOIL)
mud,mud,,,1917,MUD
dust,dust,,,862,DUST
stone,stone,,,857,STONE
sand,sand,,,2499,SAND
lime (for betel chew),lime (for betel chew),,,2540,LIME (MATERIAL)
gold,gold,,,1233,GOLD
silver,silver,,,2646,SILVER
iron,iron,,,1537,IRON
mountain,mountain,,,1906,MOUNTAIN
cave (natural),cave (natural),,,1155,CAVE
jungle/forest,jungle/forest,,,420,FOREST
tree,tree,,,2941,TREE
branch (tree),branch (tree),,,1531,BRANCH
tree bark,tree bark,,,1204,BARK
thorn,thorn,,,124,THORN
root (tree),root (tree),,,670,ROOT
leaf (tree),leaf (tree),,,628,LEAF
flower,flower,,,1100,FLOWER
fruit (tree),fruit (tree),,,1507,FRUIT
seed (tree),seed (tree),,,714,SEED
grass (field/jungle),grass (field/jungle),,,606,GRASS
bamboo plant (large),bamboo plant (large),,,1927,BAMBOO
bamboo shoot (edible),bamboo shoot (edible),,,2494,BAMBOO SHOOT
mushroom,mushroom,,,641,MUSHROOM
cane/rattan,cane/rattan,,,2497,RATTAN
kapok,kapok,,,2499,KAPOK TREE
sugarcane,sugarcane,,,146,SUGAR CANE
betel nut,betel nut,,,2369,BETEL NUT
opium,opium,,,2498,OPIUM
(rice/millet) beer,(rice/millet) beer,,,1639,BEER
banana (fruit),banana (fruit),,,868,BANANA
mango (fruit),mango (fruit),,,2398,MANGO
eggplant (fruit),eggplant (fruit),,,1146,AUBERGINE
soy bean,soy bean,,,2028,SOYA BEAN
ginger,ginger,,,2500,GINGER
garlic,garlic,,,2368,GARLIC
corn,corn,,,506,MAIZE
red pepper,red pepper,,,919,CHILI PEPPER
dry (burned) field,dry (burned) field,,,2794,FIELD (UPLAND)
wet rice field,wet rice field,,,140,PADDY FIELD
paddy rice,paddy rice,,,283,PADDY
rice seedling,rice seedling,,,3767,RICE SEEDLING
to be ripe,to be ripe,,,178,RIPE
