NUMBER,ENGLISH,PAGE,CONCEPTICON_ID,CONCEPTICON_GLOSS
1,sky,155,2671,SKY
2,sun,155,2897,SUN
3,moon,155,1886,MOON
4,star,155,2812,STAR
5,cloud (rain),155,,
6,mist/fog,155,,
7,rain,155,2351,RAIN
8,rainbow,155,2352,RAINBOW
9,lightning (flashing),155,,
10,thunder,155,3027,THUNDER
11,shadow/shade,156,,
12,wind,156,4497,WIND
13,night,156,1988,NIGHT
14,day,156,751,DAY
15,morning,156,1890,MORNING
16,noon,156,2000,NOON
17,yesterday,156,4548,YESTERDAY
18,tomorrow,156,4236,TOMORROW
19,year,156,4543,YEAR
20,east,156,884,EAST
21,west,156,4454,WEST
22,water,156,4425,WATER
23,to be hot (water),156,,
24,to be hot (person),156,,
25,to be warm (water),156,,
26,to be cold (person),156,,
27,to be cool (water),157,,
28,stream,157,,
29,river,157,2415,RIVER
30,sea,157,2535,SEA
31,soil (earth),157,,
32,mud,157,1917,MUD
33,dust,157,862,DUST
34,stone,157,,
35,sand,157,2499,SAND
36,lime (for betel chew),157,,
37,gold,157,1233,GOLD
38,silver,157,2646,SILVER
39,iron,157,1537,IRON
40,mountain,157,1906,MOUNTAIN
41,cave (natural),157,,
42,jungle/forest,157,,
43,tree,158,2941,TREE
44,branch (tree),158,,
45,tree bark,158,,
46,thorn,158,,
47,root (tree),158,,
48,leaf (tree),158,,
49,flower,158,1100,FLOWER
50,fruit (tree),158,,
51,seed (tree),158,,
52,grass (field/jungle),158,,
53,bamboo plant (large),158,,
54,bamboo shoot (edible),158,,
55,mushroom,158,,
56,cane/rattan,158,,
57,kapok,158,,
58,sugarcane,159,,
59,betel nut,159,,
60,opium,159,,
61,(rice/millet) beer,159,,
62,banana (fruit),159,,
63,mango (fruit),159,,
64,eggplant (fruit),159,,
65,soy bean,159,,
66,ginger,159,,
67,garlic,159,,
68,corn,159,,
69,red pepper,159,,
70,dry (burned) field,159,,
71,wet rice field,159,,
72,paddy rice,159,,
73,rice seedling,159,,
74,to be ripe,159,,
75,pounded rice,160,,
76,cooked rice,160,,
77,to winnow (rice),160,,
78,to dry (rice),160,,
79,to pound (rice),160,,
80,to grind,160,,
81,to cook (rice),160,,
82,to boil (rice),160,,
83,rice husk (powder),160,,
84,salt,160,2495,SALT
85,animal (tame/wild),160,,
