ID	SLNO	SALIST	SOURCE_CONCEPT	CONCEPTICON_ID	CONCEPTICON_NAME	FORM	TOKENS	BORROWED	TONES	SOURCE	PAGE	DOCULECT	SPEAKER	GLOTTOCODE	NOTES
1	1	sky	sky	2671	SKY	ʒuan³³	ʒ ua n ³³	0	33	nawsawu2016makyam	155	Khalai	kl1	maky1236	
2	1	sky	sky	2671	SKY	ʒuan³³	ʒ ua n ³³	0	33	nawsawu2016makyam	155	Khalai	kl2	maky1236	
3	1	sky	sky	2671	SKY	ruan³³	r ua n ³³	0	33	nawsawu2016makyam	155	Santong	st1	maky1236	
4	1	sky	sky	2671	SKY	ruan³³	r ua n ³³	0	33	nawsawu2016makyam	155	Santong	st2	maky1236	
5	2	sun	sun	2897	SUN	ɲy⁴⁴	ɲ y ⁴⁴	0	44	nawsawu2016makyam	155	Khalai	kl1	maky1236	
6	2	sun	sun	2897	SUN	ɲy⁴⁴	ɲ y ⁴⁴	0	44	nawsawu2016makyam	155	Khalai	kl2	maky1236	
7	2	sun	sun	2897	SUN	ɲə⁴⁴	ɲ ə ⁴⁴	0	44	nawsawu2016makyam	155	Santong	st1	maky1236	
8	2	sun	sun	2897	SUN	ɲy⁴⁴	ɲ y ⁴⁴	0	44	nawsawu2016makyam	155	Santong	st2	maky1236	
9	3	moon	moon	1313	MOON	ta⁴⁴	t a ⁴⁴	0	44	nawsawu2016makyam	155	Khalai	kl1	maky1236	
10	3	moon	moon	1313	MOON	ta⁴⁴	t a ⁴⁴	0	44	nawsawu2016makyam	155	Khalai	kl2	maky1236	
11	3	moon	moon	1313	MOON	ta⁴⁴	t a ⁴⁴	0	44	nawsawu2016makyam	155	Santong	st1	maky1236	
12	3	moon	moon	1313	MOON	ta⁴⁴	t a ⁴⁴	0	44	nawsawu2016makyam	155	Santong	st2	maky1236	
13	4	star	star	2812	STAR	huan²⁴ tʰɔŋ³³ pi³¹	h ua n ²⁴ + tʰ ɔ ŋ ³³ + p i ³¹	0	24 33 31	nawsawu2016makyam	155	Khalai	kl1	maky1236	
14	4	star	star	2812	STAR	xuan³⁵ tʰɔŋ³³ pi²¹	x ua n ³⁵ + tʰ ɔ ŋ ³³ + p i ²¹	0	35 33 21	nawsawu2016makyam	155	Khalai	kl2	maky1236	
15	4	star	star	2812	STAR	wan²⁴ tʰɔŋ³³ pi³¹	w a n ²⁴ + tʰ ɔ ŋ ³³ + p i ³¹	0	24 33 31	nawsawu2016makyam	155	Santong	st1	maky1236	
